t (s),E (J),alpha
5.13152350841e-11,1159.84534464,0.0
6.13152350841e-11,1071.49923363,0.0
7.13152350841e-11,1184.9215363,0.0
8.13152350841e-11,1098.47055483,0.0
9.13152350841e-11,1216.51168969,0.0
1.01315235084e-10,1130.58924811,0.0
1.11315235084e-10,1254.23290048,0.0
1.21315235084e-10,1365.02345954,0.0
1.31315235084e-10,1296.6333563,0.0
1.41315235084e-10,1414.10045183,0.0
1.51315235084e-10,1344.0739311,0.0
1.61315235084e-10,1470.82025989,0.0
1.71315235084e-10,1430.71033035,0.0
1.81315235084e-10,1339.70152555,0.0
1.91315235084e-10,1414.32749929,0.0
2.01315235084e-10,1394.59839868,0.0
2.11315235084e-10,1494.67257202,697.228760093
2.21315235084e-10,1489.90825052,673.43000077
2.31315235084e-10,1572.18754126,681.013138338
2.41315235084e-10,1554.06407919,662.405486142
2.51315235084e-10,1654.19404779,661.937916757
2.61315235084e-10,1537.32787754,1385.68805212
2.71315235084e-10,1742.35689463,640.094729371
2.81315235084e-10,1634.15839284,1333.70833042
2.91315235084e-10,1874.66261559,1779.6561536
3.01315235084e-10,1725.76310201,1285.82678318
3.11315235084e-10,1655.80537257,1984.54179131
3.21315235084e-10,1821.87486764,3744.78803628
3.31315235084e-10,1714.46627785,3402.30474647
3.41315235084e-10,1923.46379621,5485.98569301
3.51315235084e-10,1813.91916898,6551.93427182
3.61315235084e-10,1698.72742625,5919.70515135
3.71315235084e-10,1577.53857431,6722.48346342
3.81315235084e-10,1552.22729842,8026.69364814
3.91315235084e-10,102.043544529,12814.6063716
4.01315235084e-10,102.043544529,15043.4334513
4.11315235084e-10,96.8077489481,15763.5606361
4.21315235084e-10,114.680184865,15780.0574411
4.31315235084e-10,94.6643761657,15794.2707184
4.41315235084e-10,112.315685803,15786.0703062
4.51315235084e-10,129.886496584,15746.023538
4.61315235084e-10,122.960763311,16457.4561917
4.71315235084e-10,139.679813835,16358.0277136
4.81315235084e-10,121.495840136,16382.3202741
4.91315235084e-10,138.456306719,16258.3016272
5.01315235084e-10,131.33725976,16920.9903764
5.11315235084e-10,147.795916962,16737.4835642
5.21315235084e-10,164.539384538,16535.9038111
5.31315235084e-10,156.566862776,17155.9326447
5.41315235084e-10,172.952106993,16896.6348681
5.51315235084e-10,164.951767232,17456.3184169
5.61315235084e-10,182.05145166,17145.3620321
5.71315235084e-10,178.567140384,18069.9088622
5.81315235084e-10,196.354242796,17658.2034493
5.91315235084e-10,217.514925392,17438.0314635
6.01315235084e-10,0.0,0.0
6.11315235084e-10,114.58267431,21925.1550567
6.21315235084e-10,115.739865753,22526.2764963
6.31315235084e-10,125.382263177,21945.3780673
6.41315235084e-10,153.04636434,21871.698976
6.51315235084e-10,180.664930535,22191.0004282
6.61315235084e-10,167.21995276,21519.6360403
6.71315235084e-10,195.54356197,21367.1563271
6.81315235084e-10,203.045318272,21739.0057167
6.91315235084e-10,265.90487987,20301.9368989
7.01315235084e-10,241.844272372,20685.0359609
7.11315235084e-10,269.014366569,19939.9170378
7.21315235084e-10,331.396908575,18761.8992311
7.31315235084e-10,260.534879446,20059.3458298
7.41315235084e-10,345.274108247,18296.0154363
7.51315235084e-10,311.493678651,19208.9265638
7.61315235084e-10,295.717092868,19422.4404845
7.71315235084e-10,281.976924069,19619.9381406
7.81315235084e-10,269.856075763,19804.1490234
7.91315235084e-10,259.050430318,19977.055992
8.01315235084e-10,249.332186003,20140.1532067
8.11315235084e-10,240.527493382,20294.6578806
8.21315235084e-10,232.49738132,20397.0378938
8.31315235084e-10,225.598780991,20583.0726817
8.41315235084e-10,218.75843829,20715.7052115
8.51315235084e-10,212.430570283,20842.8822949
8.61315235084e-10,262.835558146,19221.7458998
8.71315235084e-10,255.779309368,19331.8659399
8.81315235084e-10,249.19351448,19437.956922
8.91315235084e-10,243.025813755,19540.4880393
9.01315235084e-10,237.234610151,19639.6070354
9.11315235084e-10,231.783709443,19735.6043247
9.21315235084e-10,226.640925394,19828.6976398
9.31315235084e-10,221.772416573,19918.9035983
9.41315235084e-10,217.856391777,20002.0381998
9.51315235084e-10,213.428928502,20086.4271175
9.61315235084e-10,209.219982912,20168.7340092
9.71315235084e-10,205.211638214,20248.6334456
9.81315235084e-10,201.392777597,20326.7643133
9.91315235084e-10,197.74227071,20403.143702
1.00131523508e-09,194.252775724,20477.7211177
1.01131523508e-09,190.912689622,20550.6020277
1.02131523508e-09,234.303384097,19041.071376
1.03131523508e-09,230.463318192,19106.1509624
1.04131523508e-09,226.780149115,19169.9676811
1.05131523508e-09,223.238524009,19232.2749264
1.06131523508e-09,219.831028524,19293.4499791
1.07131523508e-09,217.427367499,19340.3012227
1.08131523508e-09,214.211080092,19398.4107392
1.09131523508e-09,211.113393267,19455.5610733
1.10131523508e-09,208.12134745,19511.6249808
